interaction_id,user_id,product_id,event_type,timestamp,affinity_score,long_horizon_signal,long_horizon_observed_date,days_since_last_purchase_at_time
1,1,152,view,2026-03-08 00:00:40,0.9279,,,-1
2,1,172,view,2026-03-09 00:00:25,-0.7867,,,-1
3,1,297,view,2026-03-10 00:00:32,1.9633,,,-1
4,1,297,click,2026-03-10 00:10:40,1.9633,,,-1
5,1,297,cart,2026-03-10 00:27:59,1.9633,,,-1
6,1,297,purchase,2026-03-11 01:04:00,1.9633,0.8702,2026-04-21,-1
7,1,11,view,2026-03-13 00:00:02,0.2653,,,1
8,1,164,view,2026-03-23 00:00:50,-0.5873,,,11
9,1,161,view,2026-03-24 00:00:11,1.4884,,,12
10,1,208,view,2026-04-05 00:00:39,-0.4707,,,24
11,1,176,view,2026-04-09 00:00:59,2.3356,,,28
12,1,176,click,2026-04-09 00:08:18,2.3356,,,28
13,1,91,view,2026-04-11 00:00:28,-1.0558,,,30
14,1,252,view,2026-04-11 00:00:52,-3.1159,,,30
15,1,67,view,2026-04-25 00:00:57,5.0398,,,44
16,1,67,click,2026-04-25 00:10:18,5.0398,,,44
17,1,67,cart,2026-04-25 00:10:36,5.0398,,,44
18,1,67,purchase,2026-04-26 09:16:46,5.0398,1.0,2026-05-27,46
19,1,185,view,2026-05-16 00:00:09,0.8013,,,19
20,1,258,view,2026-05-16 00:00:59,-0.3438,,,19
21,1,236,view,2026-05-22 00:00:05,2.9449,,,25
22,1,236,click,2026-05-22 00:18:00,2.9449,,,25
23,1,47,view,2026-06-04 00:00:27,0.5224,,,38
24,2,272,view,2025-12-22 00:00:10,-0.7121,,,-1
25,2,39,view,2026-01-06 00:00:56,-0.7734,,,-1
26,2,60,view,2026-01-29 00:00:43,0.8423,,,-1
27,2,60,click,2026-01-29 00:22:54,0.8423,,,-1
28,2,222,view,2026-02-10 00:00:48,-0.0243,,,-1
29,2,195,view,2026-02-19 00:00:33,-0.0886,,,-1
30,2,242,view,2026-03-02 00:00:08,2.4945,,,-1
31,2,15,view,2026-03-12 00:00:10,-0.4908,,,-1
32,2,167,view,2026-03-19 00:00:14,1.7382,,,-1
33,2,167,click,2026-03-19 00:05:17,1.7382,,,-1
34,2,58,view,2026-03-26 00:00:52,1.779,,,-1
35,2,71,view,2026-04-29 00:00:18,2.0907,,,-1
36,2,250,view,2026-05-06 00:00:24,0.6424,,,-1
37,2,267,view,2026-05-14 00:00:54,-0.6443,,,-1
38,2,70,view,2026-05-26 00:00:05,0.0904,,,-1
39,2,70,click,2026-05-26 00:04:14,0.0904,,,-1
40,2,127,view,2026-06-13 00:00:04,0.5955,,,-1
41,2,40,view,2026-06-27 00:00:41,0.7992,,,-1
42,3,42,view,2025-01-18 00:00:40,-0.9916,,,-1
