user_id,skin_type,primary_concern,secondary_concern,signup_date
1,oily,aging,dullness,2026-01-18
2,sensitive,pigmentation,sensitivity,2025-10-25
3,sensitive,dullness,sensitivity,2024-10-15
4,combination,dullness,pigmentation,2026-04-22
5,combination,pigmentation,dehydration,2026-04-18
6,normal,dehydration,acne,2025-11-28
7,oily,dullness,acne,2025-04-22
8,sensitive,acne,pigmentation,2024-11-24
9,dry,sensitivity,dullness,2025-05-21
10,oily,acne,aging,2025-07-11
11,combination,dullness,sensitivity,2024-10-08
12,normal,aging,dullness,2026-03-03
13,sensitive,dullness,sensitivity,2024-09-15
14,sensitive,dehydration,acne,2025-11-20
15,sensitive,dehydration,acne,2025-12-17
16,sensitive,dullness,aging,2024-08-08
17,combination,sensitivity,pigmentation,2025-03-21
18,oily,dehydration,sensitivity,2025-08-25
19,normal,dehydration,pigmentation,2025-11-07
20,combination,aging,dehydration,2025-08-18
21,combination,pigmentation,dehydration,2024-12-05
22,dry,pigmentation,sensitivity,2026-03-17
23,oily,dullness,dehydration,2026-03-01
24,normal,dullness,acne,2025-11-26
25,sensitive,acne,pigmentation,2025-07-19
26,sensitive,pigmentation,aging,2024-11-18
27,combination,sensitivity,acne,2026-02-02
28,normal,dehydration,sensitivity,2024-12-09
29,combination,dehydration,acne,2024-09-11
30,combination,pigmentation,acne,2025-08-22
31,combination,acne,sensitivity,2024-08-03
32,dry,pigmentation,aging,2024-09-21
33,oily,sensitivity,dehydration,2024-12-01
34,combination,dullness,pigmentation,2025-10-02
35,normal,dehydration,pigmentation,2025-11-29
36,oily,aging,acne,2024-10-13
37,normal,aging,sensitivity,2025-08-18
38,normal,dullness,sensitivity,2026-06-13
39,dry,sensitivity,aging,2025-01-28
40,sensitive,aging,acne,2025-10-26
41,oily,dullness,pigmentation,2024-08-22
42,sensitive,sensitivity,acne,2024-10-19
43,sensitive,aging,pigmentation,2026-04-21
44,dry,sensitivity,pigmentation,2024-09-16
45,oily,dullness,aging,2024-08-11
46,normal,sensitivity,pigmentation,2024-12-31
47,combination,aging,dullness,2025-12-17
48,normal,dullness,aging,2025-03-04
49,sensitive,pigmentation,dehydration,2024-10-10
50,sensitive,dullness,sensitivity,2024-11-17
51,sensitive,pigmentation,aging,2025-08-25
52,oily,dullness,dehydration,2025-02-04
53,dry,dehydration,sensitivity,2025-09-27
54,combination,aging,pigmentation,2026-01-02
55,combination,aging,dullness,2025-03-02
56,oily,pigmentation,aging,2025-07-31
57,combination,dehydration,dullness,2026-01-23
58,oily,dullness,aging,2025-03-11
59,sensitive,dullness,sensitivity,2025-11-13
60,sensitive,acne,dehydration,2025-05-03
61,normal,acne,dullness,2025-10-15
62,sensitive,acne,dullness,2024-09-27
63,dry,sensitivity,pigmentation,2024-10-23
64,normal,sensitivity,dullness,2025-07-25
65,combination,acne,sensitivity,2025-02-02
66,dry,acne,dehydration,2026-02-26
67,normal,dehydration,dullness,2024-07-07
68,dry,dullness,dehydration,2026-01-31
69,oily,pigmentation,sensitivity,2024-10-11
70,combination,dullness,aging,2024-10-26
71,sensitive,pigmentation,dehydration,2026-02-26
72,oily,pigmentation,acne,2026-06-30
73,combination,aging,dehydration,2025-01-14
74,oily,sensitivity,dehydration,2024-10-09
75,sensitive,dehydration,dullness,2025-01-29
76,combination,pigmentation,sensitivity,2026-05-27
77,dry,dullness,pigmentation,2025-03-22
78,dry,sensitivity,aging,2025-09-23
79,combination,sensitivity,pigmentation,2024-09-05
80,sensitive,dehydration,pigmentation,2024-11-29
81,normal,acne,sensitivity,2024-11-29
82,combination,pigmentation,aging,2025-09-12
83,oily,pigmentation,dullness,2025-11-13
84,normal,acne,dullness,2024-11-12
85,sensitive,pigmentation,dullness,2026-04-13
86,sensitive,pigmentation,sensitivity,2026-04-24
87,oily,dullness,sensitivity,2026-05-22
88,dry,aging,acne,2025-06-28
89,sensitive,aging,dullness,2026-05-12
90,normal,pigmentation,dullness,2025-05-07
91,combination,acne,dehydration,2026-03-06
92,normal,sensitivity,aging,2024-09-23
93,normal,dullness,pigmentation,2025-08-24
94,dry,pigmentation,sensitivity,2026-04-29
95,normal,dehydration,acne,2025-02-14
96,dry,dehydration,pigmentation,2025-11-01
97,dry,sensitivity,dehydration,2025-12-27
98,sensitive,acne,sensitivity,2025-03-12
99,sensitive,dullness,dehydration,2024-08-07
100,oily,sensitivity,dullness,2024-07-20
101,normal,dehydration,pigmentation,2025-08-22
102,oily,pigmentation,aging,2024-10-24
103,normal,sensitivity,dullness,2026-02-03
104,oily,aging,dullness,2024-10-26
105,sensitive,aging,dehydration,2024-08-17
106,sensitive,dullness,pigmentation,2025-06-23
107,sensitive,dehydration,dullness,2025-06-19
108,sensitive,acne,dullness,2025-05-20
109,combination,dullness,aging,2026-05-14
110,sensitive,dehydration,dullness,2024-10-17
111,dry,dullness,acne,2025-01-13
112,sensitive,pigmentation,aging,2024-10-09
113,combination,acne,dehydration,2026-04-13
114,combination,dullness,dehydration,2024-11-27
115,combination,dehydration,dullness,2025-10-14
116,combination,dullness,sensitivity,2024-11-15
117,oily,sensitivity,dullness,2024-07-10
118,oily,dullness,pigmentation,2024-10-01
119,dry,dullness,acne,2024-09-05
120,oily,acne,sensitivity,2026-04-14
121,combination,dullness,pigmentation,2025-11-08
122,sensitive,pigmentation,acne,2025-12-05
123,sensitive,dehydration,sensitivity,2025-06-26
124,combination,acne,dullness,2024-07-23
125,normal,sensitivity,dehydration,2025-02-20
126,combination,pigmentation,acne,2025-06-03
127,oily,aging,sensitivity,2024-11-25
128,sensitive,acne,pigmentation,2026-02-28
129,combination,pigmentation,dullness,2025-03-11
130,sensitive,sensitivity,aging,2025-07-04
131,combination,pigmentation,sensitivity,2026-02-08
132,combination,dullness,aging,2025-03-21
133,oily,sensitivity,acne,2024-10-30
134,combination,dullness,sensitivity,2024-11-08
135,sensitive,acne,aging,2024-10-28
136,dry,aging,pigmentation,2024-11-20
137,sensitive,aging,dullness,2025-07-29
138,oily,pigmentation,dullness,2026-06-01
139,dry,pigmentation,dullness,2024-07-31
140,combination,dullness,dehydration,2025-08-09
141,normal,aging,acne,2025-03-31
142,dry,pigmentation,dehydration,2026-06-21
143,dry,aging,sensitivity,2024-09-25
144,combination,aging,pigmentation,2024-09-25
145,normal,pigmentation,dehydration,2024-08-27
146,normal,aging,dehydration,2026-03-01
147,oily,sensitivity,pigmentation,2024-10-28
148,dry,dullness,aging,2025-04-06
149,normal,dullness,acne,2026-03-22
150,oily,sensitivity,acne,2025-05-15
151,normal,dullness,pigmentation,2025-07-23
152,dry,pigmentation,sensitivity,2025-04-05
153,normal,aging,dehydration,2026-05-06
154,dry,aging,sensitivity,2025-05-21
155,combination,aging,sensitivity,2025-02-26
156,sensitive,acne,pigmentation,2025-01-29
157,oily,acne,pigmentation,2024-12-21
158,combination,aging,acne,2025-04-05
159,combination,sensitivity,dullness,2025-02-09
160,sensitive,dehydration,aging,2026-05-01
161,normal,sensitivity,pigmentation,2024-11-30
162,sensitive,pigmentation,dehydration,2025-10-11
163,combination,aging,pigmentation,2025-06-01
164,combination,dullness,sensitivity,2025-06-02
165,combination,aging,acne,2024-07-23
166,normal,aging,dullness,2025-11-11
167,dry,aging,dullness,2025-09-29
168,oily,acne,sensitivity,2024-12-28
169,dry,sensitivity,acne,2025-03-30
170,oily,sensitivity,dullness,2025-11-16
171,oily,acne,dullness,2025-10-28
172,oily,aging,pigmentation,2024-11-08
173,sensitive,dullness,acne,2024-11-02
174,sensitive,dehydration,aging,2026-03-21
175,sensitive,sensitivity,dehydration,2025-09-17
176,combination,aging,pigmentation,2024-12-21
177,sensitive,dehydration,aging,2026-04-11
178,oily,sensitivity,acne,2026-02-22
179,normal,dehydration,sensitivity,2026-03-13
180,combination,pigmentation,dehydration,2025-06-16
181,normal,dehydration,aging,2025-08-11
182,oily,aging,acne,2025-11-14
183,combination,acne,dehydration,2026-03-29
184,sensitive,dehydration,sensitivity,2025-03-28
185,combination,sensitivity,acne,2024-11-23
186,combination,aging,dullness,2026-02-01
187,oily,aging,sensitivity,2025-03-06
188,dry,aging,acne,2024-12-02
189,dry,acne,pigmentation,2025-05-25
190,dry,sensitivity,dehydration,2025-05-13
191,sensitive,acne,aging,2026-03-07
192,sensitive,dullness,pigmentation,2024-08-06
193,sensitive,acne,dehydration,2024-08-06
194,dry,dehydration,sensitivity,2025-02-01
195,normal,sensitivity,dehydration,2024-09-15
196,oily,dullness,aging,2025-04-18
197,dry,dullness,aging,2025-03-10
198,oily,dehydration,sensitivity,2024-11-07
199,dry,sensitivity,pigmentation,2026-06-09
200,normal,sensitivity,pigmentation,2026-01-27
201,dry,pigmentation,dehydration,2026-02-08
202,normal,dullness,aging,2025-03-31
203,combination,dehydration,aging,2026-01-10
204,sensitive,pigmentation,sensitivity,2025-09-24
205,combination,dehydration,pigmentation,2025-07-11
206,dry,acne,sensitivity,2025-01-09
207,sensitive,sensitivity,dehydration,2025-06-23
208,normal,dullness,aging,2026-06-19
209,dry,dehydration,dullness,2025-02-20
210,sensitive,dehydration,aging,2025-08-28
211,dry,pigmentation,aging,2026-04-15
212,sensitive,aging,dehydration,2025-03-17
213,sensitive,sensitivity,dullness,2025-12-21
214,combination,acne,aging,2025-08-04
215,sensitive,dehydration,sensitivity,2024-07-29
216,dry,pigmentation,acne,2026-01-14
217,oily,dullness,acne,2024-09-27
218,oily,dullness,aging,2025-08-01
219,combination,dehydration,acne,2024-08-24
220,normal,sensitivity,pigmentation,2024-10-23
221,oily,aging,dehydration,2024-11-05
222,combination,pigmentation,dullness,2026-02-05
223,sensitive,aging,sensitivity,2024-12-05
224,dry,dullness,sensitivity,2025-10-11
225,sensitive,dehydration,dullness,2024-09-09
226,dry,dehydration,acne,2024-07-13
227,normal,aging,sensitivity,2025-04-15
228,combination,sensitivity,dehydration,2024-09-07
229,combination,acne,dullness,2025-06-12
230,oily,acne,pigmentation,2026-06-12
231,combination,acne,pigmentation,2024-10-06
232,normal,sensitivity,aging,2025-06-14
233,oily,pigmentation,sensitivity,2026-06-04
234,sensitive,dullness,aging,2026-05-20
235,combination,dehydration,sensitivity,2025-01-24
236,sensitive,dehydration,pigmentation,2024-08-30
237,sensitive,sensitivity,pigmentation,2025-02-12
238,combination,acne,dullness,2025-08-18
239,dry,aging,sensitivity,2025-11-24
240,sensitive,dullness,sensitivity,2025-09-04
241,oily,dehydration,sensitivity,2025-11-13
242,combination,dullness,dehydration,2025-12-19
243,oily,dullness,acne,2026-04-04
244,sensitive,pigmentation,dullness,2025-05-17
245,sensitive,acne,aging,2026-01-28
246,oily,aging,dullness,2026-03-23
247,sensitive,pigmentation,aging,2025-12-17
248,combination,dullness,dehydration,2024-11-29
249,sensitive,dehydration,acne,2025-05-14
250,oily,dullness,dehydration,2025-07-12
